Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2014-08-27 00:00:00-04:00,,,,,0,0.053333,0.0
2014-08-28 00:00:00-04:00,8.801301002502441,8.809882252464643,8.73551278338062,8.792719752540238,8775300,0.0,0.0
2014-08-29 00:00:00-04:00,8.841344833374023,8.844205795390216,8.778416762665463,8.804160510693317,10367400,0.0,0.0
2014-09-02 00:00:00-04:00,8.884249687194824,8.952898040790362,8.852785653875305,8.86136690266298,10848300,0.0,0.0
2014-09-03 00:00:00-04:00,8.898553848266602,8.975783473434758,8.884252308303067,8.924296783871597,19330500,0.0,0.0
2014-09-04 00:00:00-04:00,8.92715835571289,9.010109101142806,8.884253728961516,8.915717776595164,16395600,0.0,0.0
2014-09-05 00:00:00-04:00,9.007246971130371,9.010107115279416,8.892832203284279,8.935737638932423,12465300,0.0,0.0
2014-09-08 00:00:00-04:00,8.92143440246582,9.007245257435967,8.895691473315962,8.995803046310515,10959000,0.0,0.0
2014-09-09 00:00:00-04:00,8.895691871643066,8.94145744478229,8.869948941340503,8.927155089411533,9396000,0.0,0.0
2014-09-10 00:00:00-04:00,8.867087364196777,8.96433960954831,8.841344435679849,8.924294326652696,12907500,0.0,0.0
2014-09-11 00:00:00-04:00,8.970059394836426,8.975780499938454,8.841343941099128,8.867086868176008,21485100,0.0,0.0
2014-09-12 00:00:00-04:00,8.950040817260742,8.99580558290225,8.901414270501476,8.981504860845398,19529400,0.0,0.0
2014-09-15 00:00:00-04:00,9.007246971130371,9.015828221930624,8.932877494783378,8.972922786282478,13263000,0.0,0.0
2014-09-16 00:00:00-04:00,9.115939140319824,9.124520390485937,8.981503373364992,9.012966593385643,14238000,0.0,0.0
2014-09-17 00:00:00-04:00,9.250373840332031,9.284698015647901,9.124518530840513,9.124518530840513,25827900,0.0,0.0
2014-09-18 00:00:00-04:00,9.26467514038086,9.298999311793933,9.230350968967787,9.258954035968948,11248500,0.0,0.0
