,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
0,0,0,0,0,0,2023-06-19 00:00:00+08:00,90.14490579180575,90.84292744986712,87.6519604303502,89.4468765258789,54103067,0.0,0.0,0.0
1,1,1,1,1,1,2023-06-20 00:00:00+08:00,89.24744920450931,89.49674375535989,87.70181994608932,88.10069274902344,37315367,0.0,0.0,-1.5050092626386902
2,2,2,2,2,2,2023-06-21 00:00:00+08:00,85.05929623151073,85.90689610747707,84.26155069656285,84.46098327636719,43362403,0.0,0.0,-4.131306303146632
3,3,3,3,3,3,2023-06-23 00:00:00+08:00,84.76014428042332,84.85986057565069,82.86550423964071,83.81282806396484,29149129,0.0,0.0,-0.7674019260248244
4,4,4,4,4,4,2023-06-26 00:00:00+08:00,82.86550506472507,84.51085057988897,82.86550506472507,83.01508331298828,31955957,0.0,0.0,-0.9518170063033016
5,5,5,5,5,5,2023-06-27 00:00:00+08:00,84.01226671864238,85.50803407861821,83.4139612962253,85.20887756347656,33586916,0.0,0.0,2.6426453638757508
6,6,6,6,6,6,2023-06-28 00:00:00+08:00,84.41113311592305,84.71028200044532,83.31423865694349,84.11197662353516,36259869,0.0,0.0,-1.287308284426425
7,7,7,7,7,7,2023-06-29 00:00:00+08:00,83.11479685449815,83.71310221985539,81.36973510095137,81.9680404663086,36238490,0.0,0.0,-2.548907115596988
8,8,8,8,8,8,2023-06-30 00:00:00+08:00,81.17030353849572,81.71874696037719,80.57199816559519,80.97086334228516,51987596,0.0,0.0,-1.2165438118937444
9,9,9,9,9,9,2023-07-03 00:00:00+08:00,81.76861028871527,83.76296663722052,81.76861028871527,83.31423950195312,27847744,0.0,0.0,2.8940980285240503
10,10,10,10,10,10,2023-07-04 00:00:00+08:00,82.91536245823745,83.7629623413086,82.36691144738039,83.7629623413086,19606487,0.0,0.0,0.5385908123724192
11,11,11,11,11,11,2023-07-05 00:00:00+08:00,84.21169473387985,84.21169473387985,81.9680438161971,82.41677856445312,23226533,0.0,0.0,-1.6071348711023115
12,12,12,12,12,12,2023-07-06 00:00:00+08:00,81.51931406968941,83.46380842637065,80.27284137749233,81.27001953125,33922544,0.0,0.0,-1.3914145313339454
13,13,13,13,13,13,2023-07-07 00:00:00+08:00,82.06776973934717,86.45534777776014,81.27002412807246,84.06212615966797,69003665,0.0,0.0,3.4355924171328045
14,14,14,14,14,14,2023-07-10 00:00:00+08:00,88.69899574351689,88.74885769548087,85.75732316641972,86.75450134277344,67683238,0.0,0.0,3.202839740207808
15,15,15,15,15,15,2023-07-11 00:00:00+08:00,88.2502705748652,88.99815422380475,87.45252497285001,88.49956512451172,51083010,0.0,0.0,2.0114965272446383
16,16,16,16,16,16,2023-07-12 00:00:00+08:00,89.64632038747405,90.69335291740636,88.79872045147195,89.5964584350586,47490900,0.0,0.0,1.2394335599317685
17,17,17,17,17,17,2023-07-13 00:00:00+08:00,91.74039000642269,92.48827362060548,91.2916628810592,92.48827362060548,61069223,0.0,0.0,3.22759988068384
18,18,18,18,18,18,2023-07-14 00:00:00+08:00,94.73193204183288,94.73193204183288,91.740397345775,92.68771362304688,48280964,0.0,0.0,0.2156381502583793
19,19,19,19,19,19,2023-07-18 00:00:00+08:00,91.1919382788978,91.2418002292731,89.29730589048397,89.4468765258789,44406679,0.0,0.0,-3.496512073162339
20,20,20,20,20,20,2023-07-19 00:00:00+08:00,88.25026888655171,90.89279258382386,87.25309070704265,90.09504699707033,46154569,0.0,0.0,0.7246429348529482
21,21,21,21,21,21,2023-07-20 00:00:00+08:00,90.14491371278308,91.88997561913946,88.948295269419,89.24745178222656,27696550,0.0,0.0,-0.9407789252513843
22,22,22,22,22,22,2023-07-21 00:00:00+08:00,89.24744983527026,91.14208995669836,89.24744983527026,91.04237365722656,32113785,0.0,0.0,2.011174368742541
23,23,23,23,23,23,2023-07-24 00:00:00+08:00,89.7460370174291,90.493920659241,88.49956428107592,89.29730987548828,29727637,0.0,0.0,-1.9167599785001488
24,24,24,24,24,24,2023-07-25 00:00:00+08:00,93.78461336791804,94.88150787353516,92.68771125443496,94.88150787353516,69490852,0.0,0.0,6.253489613330121
25,25,25,25,25,25,2023-07-26 00:00:00+08:00,92.73757459389633,93.93418541647758,92.3885637379656,93.58517456054688,38602996,0.0,0.0,-1.3662655053038653
26,26,26,26,26,26,2023-07-27 00:00:00+08:00,94.58235103287927,95.42995098385522,94.08376193137978,95.18065643310548,42983693,0.0,0.0,1.704844682985951
27,27,27,27,27,27,2023-07-28 00:00:00+08:00,93.1364415061234,96.22769227525804,93.03672521186724,95.62938690185548,46062057,0.0,0.0,0.4714513279968635
28,28,28,28,28,28,2023-07-31 00:00:00+08:00,98.72063598632812,99.46851959228516,96.52684711866702,97.22486877441406,74290881,0.0,0.0,1.6684012354863498
29,29,29,29,29,29,2023-08-01 00:00:00+08:00,99.41866116173784,99.71781765785772,96.62656683203728,97.57388305664062,53949339,0.0,0.0,0.3589763469224794
30,30,30,30,30,30,2023-08-02 00:00:00+08:00,97.37445338987678,98.3217696429402,94.3330568167936,94.88150787353516,37885551,0.0,0.0,-2.759319501041657
31,31,31,31,31,31,2023-08-03 00:00:00+08:00,93.43558941270548,94.48262951112004,92.7874297028794,92.88714599609376,50021614,0.0,0.0,-2.1019500239178535
32,32,32,32,32,32,2023-08-04 00:00:00+08:00,94.98122417261564,96.3274132298669,94.13362421863268,94.88150787353516,32949492,0.0,0.0,2.147080584783234
33,33,33,33,33,33,2023-08-07 00:00:00+08:00,94.08375801108016,95.77896545026177,93.33587438999388,95.33023071289062,22359341,0.0,0.0,0.47292970928913824
34,34,34,34,34,34,2023-08-08 00:00:00+08:00,93.83446230132328,94.03390249584685,92.43841137112048,92.78742980957033,35528837,0.0,0.0,-2.6673604839775766
35,35,35,35,35,35,2023-08-09 00:00:00+08:00,92.08940321538095,94.1336215233974,91.79025432670478,93.83446502685548,30298227,0.0,0.0,1.1284235584863245
36,36,36,36,36,36,2023-08-10 00:00:00+08:00,93.53531594135336,94.43277021335912,92.08940302159766,94.03390502929688,34598900,0.0,0.0,0.2125445084429467
37,37,37,37,37,37,2023-08-11 00:00:00+08:00,96.87586023671908,97.67359820387944,95.03108215332033,95.03108215332033,61924422,0.0,0.0,1.0604442341438203
38,38,38,38,38,38,2023-08-14 00:00:00+08:00,92.03955024681711,93.08658278463125,91.19194269656865,92.53813934326172,41572767,0.0,0.0,-2.6232920362167067
39,39,39,39,39,39,2023-08-15 00:00:00+08:00,90.84293354173656,92.43841715848714,90.59363898887348,90.9426498413086,27712822,0.0,0.0,-1.7241426219245737
40,40,40,40,40,40,2023-08-16 00:00:00+08:00,89.74603733094801,90.39420467768912,88.64914284069847,88.99815368652344,42124798,0.0,0.0,-2.1381564735338476
41,41,41,41,41,41,2023-08-17 00:00:00+08:00,86.35562541101989,90.3443379714168,85.9567526334071,89.84574890136719,55171505,0.0,0.0,0.9523739310696389
42,42,42,42,42,42,2023-08-18 00:00:00+08:00,88.9981522395693,89.59645762380839,86.55506875064899,86.75450134277344,42258149,0.0,0.0,-3.4406163857427785
43,43,43,43,43,43,2023-08-21 00:00:00+08:00,85.45816040039062,87.30294597758757,84.90971700835424,85.45816040039062,39147534,0.0,0.0,-1.494263608594637
44,44,44,44,44,44,2023-08-22 00:00:00+08:00,86.106329867189,88.44969694739463,85.1590136883395,87.10350799560547,37262451,0.0,0.0,1.925325314172488
45,45,45,45,45,45,2023-08-23 00:00:00+08:00,86.35562824603359,87.95111180099822,85.85703915961554,87.05365753173828,32126401,0.0,0.0,-0.05723129299189944
46,46,46,46,46,46,2023-08-24 00:00:00+08:00,87.8513969365991,90.04519351730019,87.4525241393929,89.29730987548828,39372255,0.0,0.0,2.5773211687653674
47,47,47,47,47,47,2023-08-25 00:00:00+08:00,87.55224639903355,88.25026807512556,87.05365731386335,87.25308990478516,23103924,0.0,0.0,-2.289229063622955
48,48,48,48,48,48,2023-08-28 00:00:00+08:00,91.59081191518928,91.64067386603108,88.44969920879527,88.64913940429688,30525112,0.0,0.0,1.6000000699518457
49,49,49,49,49,49,2023-08-29 00:00:00+08:00,89.79589376235296,91.24179900952164,89.39702098827925,90.64349365234376,33359481,0.0,0.0,2.2497164230228517
50,50,50,50,50,50,2023-08-30 00:00:00+08:00,91.74039251483342,91.74039251483342,89.59645790731578,90.09504699707033,39173999,0.0,0.0,-0.6050590430428104
51,51,51,51,51,51,2023-08-31 00:00:00+08:00,90.99251289511513,91.44124005254731,89.34716730475351,89.94547271728516,68704748,0.0,0.0,-0.1660183159569617
52,52,52,52,52,52,2023-09-04 00:00:00+08:00,92.68770580179952,93.73474590021408,91.74038960446484,92.88714599609376,85600311,0.0,0.0,3.270507330652217
53,53,53,53,53,53,2023-09-05 00:00:00+08:00,92.73756856851324,93.68488477418516,91.4910958726999,92.0894012451172,54564801,0.0,0.0,-0.8588322339132981
54,54,54,54,54,54,2023-09-06 00:00:00+08:00,91.84010681334811,92.68770672591924,90.89279060656848,91.98968505859376,26538431,0.0,0.0,-0.10828193600479485
55,55,55,55,55,55,2023-09-07 00:00:00+08:00,92.787428263739,92.787428263739,90.24462098295166,90.54377746582033,26196625,0.0,0.0,-1.5718149180013574
56,56,56,56,56,56,2023-09-11 00:00:00+08:00,87.70181266170853,88.54942015049227,86.60491825064555,87.8015365600586,64101748,0.0,0.0,-3.028635409867797
57,57,57,57,57,57,2023-09-12 00:00:00+08:00,86.4553455954179,86.90408034338252,85.65760761214601,86.05648040771484,33461787,0.0,0.0,-1.9875006984075738
58,58,58,58,58,58,2023-09-13 00:00:00+08:00,86.60492077989097,86.85421531731603,85.05929921257494,85.30859375,31205429,0.0,0.0,-0.869064891071003
59,59,59,59,59,59,2023-09-14 00:00:00+08:00,85.55789173481178,86.30577537722144,84.85986243717659,85.65760803222656,32653822,0.0,0.0,0.40911972274371156
60,60,60,60,60,60,2023-09-15 00:00:00+08:00,85.75732775701992,87.20323314698601,84.95958213008724,86.00662231445312,53342662,0.0,0.0,0.4074527531696459
61,61,61,61,61,61,2023-09-18 00:00:00+08:00,84.8598565445004,85.50802384448647,83.96239471435547,83.96239471435547,31917296,0.0,0.0,-2.3768258130445474
62,62,62,62,62,62,2023-09-19 00:00:00+08:00,84.56070709228516,84.90971791053757,83.8128235069449,84.56070709228516,21904464,0.0,0.0,0.712595656621251
63,63,63,63,63,63,2023-09-20 00:00:00+08:00,84.61056938376237,85.2587367402026,84.21169657919407,84.26155853271484,21150734,0.0,0.0,-0.35376780759867055
