,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
0,2022-08-29 00:00:00-04:00,46.07912586386311,46.3980126842218,45.30066549323579,45.53514099121094,3729700,0.0,0.0,0.0
1,2022-08-30 00:00:00-04:00,45.95720116387959,46.44491066679294,45.38508033204253,46.41677474975586,1791700,0.0,0.0,1.9361612577747156
2,2022-08-31 00:00:00-04:00,46.46366833219242,47.16709486842856,45.8634115937209,46.116641998291016,3186400,0.0,0.0,-0.6466040630417225
3,2022-09-01 00:00:00-04:00,45.57266473771335,45.57266473771335,44.47531738279339,45.15060806274414,2423900,0.0,0.0,-2.094762093872038
4,2022-09-02 00:00:00-04:00,45.17873931552646,46.21981114698604,44.409659932933536,44.63475799560547,1853400,0.0,0.0,-1.142509678766257
5,2022-09-06 00:00:00-04:00,44.83171292836597,44.8598524200505,43.349829693485,43.62181854248047,2259600,0.0,0.0,-2.2693960908777178
6,2022-09-07 00:00:00-04:00,43.65934044875234,45.08495201814909,43.57492911971528,45.05681610107422,1999100,0.0,0.0,3.289632588784208
7,2022-09-08 00:00:00-04:00,44.44717772856651,45.15998529257134,43.8656794573717,45.0192985534668,2019600,0.0,0.0,-0.08326719651752246
8,2022-09-09 00:00:00-04:00,45.43197282853786,46.68876168585715,45.23501426185205,46.613731384277344,1805200,0.0,0.0,3.541665201462285
9,2022-09-12 00:00:00-04:00,46.8763402514392,47.39218562179969,46.82944586828136,46.90447616577149,1336700,0.0,0.0,0.6237320481754294
10,2022-09-13 00:00:00-04:00,45.95720251413954,46.11664415245082,44.9911645041505,45.21625900268555,1250100,0.0,0.0,-3.5992666395407213
11,2022-09-14 00:00:00-04:00,45.26315251685834,45.272533541173296,44.31587299635885,44.9630241394043,1200600,0.0,0.0,-0.5600526643882886
12,2022-09-15 00:00:00-04:00,44.60662309703708,44.87861197429614,44.23146084329627,44.44717788696289,1906600,0.0,0.0,-1.147267698992105
13,2022-09-16 00:00:00-04:00,43.9969897695823,44.447182372819775,43.678102895062494,44.22208786010742,1519400,0.0,0.0,-0.5064214142637247
14,2022-09-19 00:00:00-04:00,43.91257240100746,44.66289330333877,43.80002516011084,44.59724044799805,977000,0.0,0.0,0.8483375752800004
15,2022-09-20 00:00:00-04:00,44.13767405597142,44.29711569541171,43.537413707398194,43.98760986328125,973500,0.0,0.0,-1.3669692980839199
16,2022-09-21 00:00:00-04:00,44.03450367162621,44.84110003837259,43.80940559665483,43.81878662109375,1228600,0.0,0.0,-0.38379726180217677
17,2022-09-22 00:00:00-04:00,43.97822972036839,44.15643341250662,43.152874855119975,43.40610885620117,879200,0.0,0.0,-0.9417827299990078
18,2022-09-23 00:00:00-04:00,42.57137510907301,42.65578643992151,41.36148055951533,41.80229568481445,1798300,0.0,0.0,-3.694901970365383
19,2022-09-26 00:00:00-04:00,41.88670658135135,42.16807648865807,40.96756297598274,41.192657470703125,1530900,0.0,0.0,-1.4583845315767952
20,2022-09-27 00:00:00-04:00,41.605340962402536,41.764782614445785,39.98277063261885,40.75185012817383,1930800,0.0,0.0,-1.0701114460576089
21,2022-09-28 00:00:00-04:00,40.77060405542493,41.16452120677568,40.12344933847377,41.02383804321289,1829500,0.0,0.0,0.6674247038688907
22,2022-09-29 00:00:00-04:00,40.620542046426905,40.704953380217255,39.20430784370138,40.339168548583984,2040100,0.0,0.0,-1.668955239896619
23,2022-09-30 00:00:00-04:00,40.601781098811166,40.90190947224992,39.90773199910129,39.97338485717773,2060800,0.0,0.0,-0.9067705274235172
24,2022-10-03 00:00:00-04:00,40.40482375512386,41.38023920960018,40.01090301685574,41.23017501831055,1049300,0.0,0.0,3.1440673979030054
25,2022-10-04 00:00:00-04:00,42.23373067490482,43.387349835581965,42.23373067490482,43.1059799194336,1593000,0.0,0.0,4.549592380556233
26,2022-10-05 00:00:00-04:00,43.10597889582741,43.56555249094625,42.50572213488138,43.29356002807617,1377800,0.0,0.0,0.4351602932891607
27,2022-10-06 00:00:00-04:00,42.81523443207594,42.918400662860094,42.06490985239396,42.25249099731445,861000,0.0,0.0,-2.4046741133937233
28,2022-10-07 00:00:00-04:00,42.23372846102678,42.25248693149504,41.65223018776041,41.90546417236328,2012300,0.0,0.0,-0.8213168425341588
29,2022-10-10 00:00:00-04:00,42.09304368876115,42.43068898864673,41.624092678433904,41.92422103881836,635200,0.0,0.0,0.04475995392374532
30,2022-10-11 00:00:00-04:00,41.68036610455659,42.44944550469314,41.33334334542484,41.90546417236328,1022000,0.0,0.0,-0.04473992835242191
31,2022-10-12 00:00:00-04:00,42.1493185658813,42.79647329669571,41.858571208269055,42.45882797241211,824500,0.0,0.0,1.3205051202219487
32,2022-10-13 00:00:00-04:00,41.31458512820249,43.33107599324561,40.948803896360346,43.218528747558594,1189700,0.0,0.0,1.7892645921364192
33,2022-10-14 00:00:00-04:00,43.46238097834382,43.95946791809369,42.38379219373342,42.39317321777344,1049900,0.0,0.0,-1.90972611447765
34,2022-10-17 00:00:00-04:00,43.16225265123499,43.96884898445924,43.16225265123499,43.70623397827149,1036000,0.0,0.0,3.0973401159494873
35,2022-10-18 00:00:00-04:00,44.29711167526328,44.57848156379526,43.27479833727433,43.462379455566406,1384100,0.0,0.0,-0.5579399104171712
36,2022-10-19 00:00:00-04:00,43.190388245279074,43.26542212586173,41.89608242772698,42.17745590209961,1235000,0.0,0.0,-2.956404066142848
37,2022-10-20 00:00:00-04:00,42.158697267603536,42.4213086929944,41.417753799893816,41.65222930908203,937600,0.0,0.0,-1.2452780325032164
38,2022-10-21 00:00:00-04:00,41.68036834345664,42.84336853027344,41.352104037160125,42.84336853027344,896900,0.0,0.0,2.859725015802894
39,2022-10-24 00:00:00-04:00,43.11535974642237,43.884439165510585,42.87150320213831,43.86568069458008,1168300,0.0,0.0,2.3861619647957077
40,2022-10-25 00:00:00-04:00,44.025122015029766,44.34400886293635,43.46238220240048,43.912574768066406,1969700,0.0,0.0,0.10690378615765272
41,2022-10-26 00:00:00-04:00,43.75313082236707,44.63475743634324,43.6874779669546,44.20332336425781,1092000,0.0,0.0,0.6621078306773276
42,2022-10-27 00:00:00-04:00,44.29711454563431,44.37214842893809,43.47175971835507,43.51865768432617,1082300,0.0,0.0,-1.5489009147335975
43,2022-10-28 00:00:00-04:00,43.96885193938549,44.60662566071217,43.78127080173424,44.28773880004883,1292300,0.0,0.0,1.7672445719750574
44,2022-10-31 00:00:00-04:00,44.25022035574897,44.70041292415144,43.94071095245275,44.12829208374024,978500,0.0,0.0,-0.36002451384673506
45,2022-11-01 00:00:00-04:00,44.73793426896241,45.00992675720743,43.950096302268015,44.42842483520508,898300,0.0,0.0,0.6801367949960335
46,2022-11-02 00:00:00-04:00,44.447178071199374,45.07557431214812,43.71561560896606,43.743751525878906,1314400,0.0,0.0,-1.5410704112643558
47,2022-11-03 00:00:00-04:00,43.40610445025423,44.64413483355395,42.90901752329954,44.59724044799805,1452600,0.0,0.0,1.9511104840064242
48,2022-11-04 00:00:00-04:00,45.51638831304969,45.99472039335161,44.70041447806788,45.20688247680664,1422000,0.0,0.0,1.366994959070289
49,2022-11-07 00:00:00-05:00,45.68520909256423,46.52932238893486,45.45073357444044,46.32298278808594,1759900,0.0,0.0,2.4688725480061846
50,2022-11-08 00:00:00-05:00,46.82007154634809,46.960758293770304,45.95720332374216,46.56684112548828,1555700,0.0,0.0,0.5264305593573715
51,2022-11-09 00:00:00-05:00,46.70751837018024,46.8388240762846,45.92906157921352,45.975955963134766,1016600,0.0,0.0,-1.2688968117059884
52,2022-11-10 00:00:00-05:00,47.429702666530495,47.898653654791865,47.223363086795615,47.73921203613281,981200,0.0,0.0,3.83517000584368
53,2022-11-11 00:00:00-05:00,47.83300444956912,48.60208384272935,47.64542332440048,48.44264221191406,1087500,0.0,0.0,1.4734850991022563
54,2022-11-14 00:00:00-05:00,48.44264291713548,48.75214873702894,48.18002790695133,48.30195617675781,959000,0.0,0.0,-0.29041775743943177
55,2022-11-15 00:00:00-05:00,48.34885156406401,49.94328581746095,47.9549344073608,48.24568176269531,1962200,0.0,0.0,-0.11650545550695446
56,2022-11-16 00:00:00-05:00,48.395750099133394,48.583331246983775,47.62667061297834,48.19879150390625,1134000,0.0,0.0,-0.09719058178035977
57,2022-11-17 00:00:00-05:00,47.77699914773651,48.62057479285348,47.738653969140856,48.58222961425781,1254500,1.11,0.0,0.7955346978367528
58,2022-11-18 00:00:00-05:00,48.76436599473092,49.07112012416396,48.24672068681119,48.68767929077149,1322900,0.0,0.0,0.217054007918005
59,2022-11-21 00:00:00-05:00,48.31382399888402,49.20532935013088,48.14127434013961,49.07112121582031,753600,0.0,0.0,0.7875543271611551
60,2022-11-22 00:00:00-05:00,49.30118748172511,49.94345279659156,49.12863782705699,49.914695739746094,974500,0.0,0.0,1.719085488623029
61,2022-11-23 00:00:00-05:00,50.068072810464464,50.71034178220828,50.068072810464464,50.51861953735352,587400,0.0,0.0,1.209911807849684
62,2022-11-25 00:00:00-05:00,50.45151931969769,50.7007556882272,50.24062447623577,50.566551208496094,330000,0.0,0.0,0.0948792179626512
63,2022-11-28 00:00:00-05:00,50.23103713989258,51.07460915195847,50.17351937037998,50.23103713989258,770100,0.0,0.0,-0.6635098905996673
64,2022-11-29 00:00:00-05:00,50.0872438911954,50.25979354068495,49.37787270364974,49.43539047241211,632400,0.0,0.0,-1.583974197595417
65,2022-11-30 00:00:00-05:00,49.48332085527876,51.06502478023435,49.09029190487371,50.89247512817383,3768700,0.0,0.0,2.947452506873316
66,2022-12-01 00:00:00-05:00,51.093783550026856,51.80315477193017,50.88289236794566,51.4676399230957,1176600,0.0,0.0,1.130156852213049
67,2022-12-02 00:00:00-05:00,51.22798679007346,51.956530584904016,51.132127496605165,51.68811798095703,674500,0.0,0.0,0.4283819079148987
68,2022-12-05 00:00:00-05:00,51.266330085489486,51.266330085489486,50.6144766748356,51.0362663269043,780200,0.0,0.0,-1.2611247604195852
69,2022-12-06 00:00:00-05:00,50.93081856095778,51.08419561788424,49.71338657175512,50.31731033325195,795800,0.0,0.0,-1.4087158904751984
70,2022-12-07 00:00:00-05:00,50.326896116722736,50.80619988926296,50.096828696912496,50.15434646606445,1175000,0.0,0.0,-0.3238723733605564
71,2022-12-08 00:00:00-05:00,50.28855150114782,51.390951653070005,50.15434702841941,50.93082046508789,1635000,0.0,0.0,1.5481689100441454
72,2022-12-09 00:00:00-05:00,50.97875051141118,51.81273806762093,50.844546037630025,51.66894912719727,1032800,0.0,0.0,1.4492769905706915
73,2022-12-12 00:00:00-05:00,51.37178047049444,52.10990874751975,51.14171304180175,51.994876861572266,907800,0.0,0.0,0.6308000063493413
74,2022-12-13 00:00:00-05:00,52.79051610407497,53.26023540027021,52.22493751810804,52.24411010742188,1812600,0.0,0.0,0.4793419292311363
75,2022-12-14 00:00:00-05:00,52.483765269983024,53.15479131073048,52.27287043114298,52.67548751831055,988600,0.0,0.0,0.8256957770008677
76,2022-12-15 00:00:00-05:00,52.02362857774841,52.263280448666656,51.18005296821293,51.55390930175781,1068000,0.0,0.0,-2.1292222804067285
77,2022-12-16 00:00:00-05:00,51.256744352038886,51.975699979239145,51.01709247630546,51.841495513916016,1210900,0.0,0.0,0.5578358965464547
78,2022-12-19 00:00:00-05:00,51.793561815049486,52.42624261584864,51.47722324304861,51.74563217163086,1073300,0.0,0.0,-0.18491623618269726
79,2022-12-20 00:00:00-05:00,51.8127368265648,52.21535389506212,51.37177823561813,51.889427185058594,1170900,0.0,0.0,0.2778882147014716
