,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
0,424,2021-08-15 16:00:00+00:00,183.38106921684872,183.38106921684872,179.09321502834956,179.8909454345703,19542473,0.0,0.0,0.0
1,425,2021-08-16 16:00:00+00:00,177.3979938932794,178.39517208315894,170.51747046940315,171.31521606445312,42641139,0.0,0.0,-4.767182333385611
2,426,2021-08-17 16:00:00+00:00,169.5202924992384,172.21267057225643,168.92197949824254,171.11578369140625,23291029,0.0,0.0,-0.11641252751993791
3,427,2021-08-18 16:00:00+00:00,168.12425172699523,168.92198211972743,159.84766956867787,161.64259338378906,45396323,0.0,0.0,-5.536128873243706
4,428,2021-08-19 16:00:00+00:00,157.653869797373,160.24652382826852,154.662335381603,157.4544219970703,54863086,0.0,0.0,-2.591007295196479
5,429,2021-08-22 16:00:00+00:00,155.4600717866985,159.5485084007606,150.77333739557247,151.67080688476562,69681080,0.0,0.0,-3.673199544952954
6,430,2021-08-23 16:00:00+00:00,156.35754134316505,166.12989053006254,155.85895225419816,166.03016662597656,52107427,0.0,0.0,9.467451275656957
7,431,2021-08-24 16:00:00+00:00,170.31802260303462,171.81378975373622,161.9417174296675,163.63693237304688,53797802,0.0,0.0,-1.4414454322153603
8,432,2021-08-25 16:00:00+00:00,163.83637453126107,165.43185045587583,159.64822930751697,161.74229431152344,25997432,0.0,0.0,-1.1578303467607132
9,433,2021-08-26 16:00:00+00:00,160.24652591987663,162.63976261316876,153.2662788586373,155.46006774902344,51566566,0.0,0.0,-3.884096357876643
10,434,2021-08-29 16:00:00+00:00,155.46007294690585,159.6482334962675,153.86459698042998,157.7535858154297,33016759,0.0,0.0,1.4753100906329975
11,435,2021-08-30 16:00:00+00:00,158.05272759843808,165.03297424316406,154.26344780529794,165.03297424316406,49830778,0.0,0.0,4.61440441439549
12,436,2021-08-31 16:00:00+00:00,163.0386409905208,167.1270778294812,161.24371712913006,164.7338409423828,36318509,0.0,0.0,-0.18125668652162474
13,437,2021-09-01 16:00:00+00:00,169.52027794910452,171.41491026342,167.12705658199755,170.5174560546875,32232099,0.0,0.0,3.5108846362221113
14,438,2021-09-02 16:00:00+00:00,167.92480078221695,168.0245246873151,163.53722284106635,164.43467712402344,48210742,0.0,0.0,-3.5672470557578717
15,439,2021-09-05 16:00:00+00:00,164.03581619262695,167.52593994140625,163.3377944860175,167.52593994140625,24264531,0.0,0.0,1.879933643833076
16,440,2021-09-06 16:00:00+00:00,167.9248029813773,171.31521799460546,167.82509429070495,169.52029418945312,24179489,0.0,0.0,1.190474889288451
17,441,2021-09-07 16:00:00+00:00,169.52028561882742,172.91068524491152,168.8222639564843,170.41773986816406,24995877,0.0,0.0,0.5294030918256754
18,442,2021-09-08 16:00:00+00:00,164.5343974806507,165.6312995501476,159.8476631410148,160.54568481445312,28379942,0.0,0.0,-5.792856460453
19,443,2021-09-09 16:00:00+00:00,163.23806322925776,167.72536498995305,162.93890673539846,167.42620849609375,27766697,0.0,0.0,4.285710755535188
20,444,2021-09-12 16:00:00+00:00,161.04427411578973,162.54004136763916,156.4572484571589,160.34625244140625,25905101,0.0,0.0,-4.228702374785421
21,445,2021-09-13 16:00:00+00:00,159.94738241972323,161.64259758769705,155.95866948939863,157.8533172607422,22361537,0.0,0.0,-1.5547199530435152
22,446,2021-09-14 16:00:00+00:00,155.06121226719446,156.45725568041337,153.1665797470071,153.56544494628906,28239189,0.0,0.0,-2.716365033602941
23,447,2021-09-15 16:00:00+00:00,153.16657477441143,153.46571605629518,148.6792729573767,151.07249450683594,33935111,0.0,0.0,-1.6233798172010983
24,448,2021-09-16 16:00:00+00:00,150.17503671715525,155.2606361947378,149.77615632442078,154.462890625,30179321,0.0,0.0,2.2442180022457014
25,449,2021-09-19 16:00:00+00:00,153.76487255391046,153.86459645835942,150.274748918439,151.07249450683594,17981515,0.0,0.0,-2.194958351773413
26,450,2021-09-20 16:00:00+00:00,145.5880174071284,149.07814111209382,145.08942830641905,148.2803955078125,23944111,0.0,0.0,-1.848184878483683
27,451,2021-09-22 16:00:00+00:00,147.5823665148945,150.37446838399816,145.9868753851978,147.98123168945312,32529431,0.0,0.0,-0.20175547639648128
28,452,2021-09-23 16:00:00+00:00,146.2860439418681,147.88153520318505,143.39423314843,143.892822265625,30354881,0.0,0.0,-2.7627891572141294
29,453,2021-09-26 16:00:00+00:00,141.79872924068923,145.08942016384003,140.8015510952333,141.49957275390625,31609172,0.0,0.0,-1.6632167428760503
30,454,2021-09-27 16:00:00+00:00,144.98970210780888,152.56826240507243,144.09224782701284,150.47418212890625,42597994,0.0,0.0,6.342499274261759
31,455,2021-09-28 16:00:00+00:00,147.88153076171875,148.87870896615956,145.0894287461381,147.88153076171875,24903515,0.0,0.0,-1.7229875122141913
