stock_id,stock_name,risk,roi,sharpe_ratio,correlation_to_hsi,PE_ratio,var
0001.HK,CK Hutchison Holdings Limited,22.0803134593854,-0.292524967176873,-0.013248225289688225,0.7675757292788997,6.59,-2.786833994751665
0002.HK,CLP Holdings Limited,19.78458998990881,17.222870828533452,0.8705194718373254,0.6480344303645685,23.13,-2.497082664044575
0003.HK,The Hong Kong and China Gas Company Limited,22.856558231190764,7.739337202726622,0.33860466324126104,0.7104413946268325,20.31,-2.884806576630747
0005.HK,HSBC Holdings plc,18.653307378192853,9.539015463368093,0.5113846713596718,0.5497604667244218,7.07,-2.35429950809887
0006.HK,Power Assets Holdings Limited,20.468960254885584,44.11065169690039,2.155002068870203,0.5294650535782025,19.1,-2.5834594413916276
0011.HK,Hang Seng Bank Limited,26.65286126001909,-8.026216682748522,-0.3011390261048008,0.684057821894972,10.14,-3.363951329470319
0012.HK,Henderson Land Development Company Limited,29.526944564870984,8.014618020228145,0.27143404569409313,0.6979283139610485,11.88,-3.726699488478222
0016.HK,Sun Hung Kai Properties Limited,25.333293705704172,-15.651626206007105,-0.6178283166741523,0.6622102823280458,8.58,-3.197404068920763
0017.HK,New World Development Company Limited,40.56429991802895,-51.81941343273483,-1.2774635218024186,0.6609805493976176,16.62,-5.119762914272136
0027.HK,Galaxy Entertainment Group Limited,31.950443565797134,-42.910005814083185,-1.343017530436361,0.6043853924506895,19.65,-4.032577818260578
0066.HK,MTR Corporation Limited,24.301678708571856,-22.79760851611764,-0.9381083829437804,0.7137592656357835,20.76,-3.067200313036946
0101.HK,Hang Lung Properties Limited,34.71724976624576,-42.98792813334863,-1.2382296530626724,0.6701044011144687,9.86,-4.381786156741953
0175.HK,Geely Automobile Holdings Limited,31.327910387235306,-24.359119689450758,-0.77755328677702,0.7826328020995952,13.62,-3.9540057170054
0241.HK,Alibaba Health Information Technology Limited,51.135770148142626,-41.860466703289575,-0.8186141830272219,0.6674256092283037,46.29,-6.454025340662799
0267.HK,CITIC Limited,32.405993472561505,-6.557914207654308,-0.20236732483473968,0.8563833559758811,3.26,-4.090074373679146
0285.HK,BYD Electronic (International) Company Limited,47.086845560787545,-1.1844726783559012,-0.0251550653744003,0.5298830879018127,14.95,-5.94299633271949
0288.HK,WH Group Limited,25.85302035299005,37.94872807496473,1.4678643948298187,0.4954552504561118,13.87,-3.2630005964020765
0291.HK,China Resources Beer (Holdings) Company Limited,41.446017511928076,-48.89448510747084,-1.179714916961542,0.69602657647834,13.99,-5.231047591863716
0316.HK,Orient Overseas (International) Limited,45.86655254062035,-22.22262661804755,-0.4845061463550534,0.3902450767308999,6.29,-5.788978860167958
0322.HK,Tingyi (Cayman Islands) Holding Corp.,34.496419192504604,-15.926579004076633,-0.46168789042130975,0.6266864727235171,15.03,-4.353914353603181
0386.HK,China Petroleum & Chemical Corporation,26.358410864424894,15.152424933314956,0.5748610950505253,0.603842542685614,8.7,-3.3267877097726477
0388.HK,Hong Kong Exchanges and Clearing Limited,30.61762548608188,-24.20542011912597,-0.7905714350751739,0.8340992101466217,25.42,-3.864358162312203
0669.HK,Techtronic Industries Company Limited,42.164858688854814,3.7862478530822625,0.08979628939401756,0.42577040852617654,21.76,-5.3217750642056085
0688.HK,China Overseas Land & Investment Limited,40.12282608159919,-22.15791481362196,-0.552252096314418,0.7583483841106899,5.09,-5.064042949181109
0700.HK,Tencent Holdings Limited,31.363321353010832,10.734831613088817,0.34227343119252546,0.8045067110507128,28.56,-3.958475059498736
0762.HK,China Unicom (Hong Kong) Limited,28.321488205490514,22.294487016125732,0.7871933443032714,0.3384965992730106,9.5,-3.574554603049381
0823.HK,Link Real Estate Investment Trust,28.65976042856027,-8.471655505892715,-0.2955940796159087,0.5777402910184553,-45.52,-3.61724912966763
0836.HK,China Resources Power Holdings Company Limited,27.708172472777047,44.48875734093928,1.6056186089013615,0.37085647328005755,9.61,-3.4971458680427046
0857.HK,PetroChina Company Limited,30.187107909218014,24.519505747462585,0.8122509059562889,0.405820549749175,6.89,-3.810021025262531
0868.HK,Xinyi Glass Holdings Limited,42.894179394594154,-34.24165960880426,-0.7982821933439215,0.6439842828878619,5.33,-5.413825194724328
0881.HK,Zhongsheng Group Holdings Limited,54.6916469383398,-51.48061246175813,-0.9412883930849286,0.6887362593355421,4.76,-6.902825052600664
0883.HK,CNOOC Limited,30.61787257400643,69.74420200010627,2.277891836917396,0.4264959706729398,6.67,-3.8643893481479057
0939.HK,China Construction Bank Corporation,22.029757889677217,38.295282898170576,1.7383433394933094,0.7558664326752123,3.86,-2.780453198548479
0941.HK,China Mobile Limited,16.90851954139436,18.202522505257356,1.0765296429823499,0.46691174274832886,10.33,-2.134083700648344
0960.HK,Longfor Group Holdings Limited,61.73849513045026,-43.234702254171104,-0.700287594681704,0.7030117607453558,4.36,-7.792232539217675
0968.HK,Xinyi Solar Holdings Limited,57.71686960229789,-53.2698790979576,-0.922951633812045,0.5433775689024646,6.68,-7.284649041518177
0981.HK,Semiconductor Manufacturing International Corporation,43.89871931275713,-10.010767588746871,-0.2280423608129658,0.5871331864552882,23.89,-5.540611709697091
0992.HK,Lenovo Group Limited,47.94719241924641,22.772690935404324,0.4749535851084196,0.4705542434712118,15.9,-6.051583734652947
1038.HK,CK Infrastructure Holdings Limited,23.781603106348264,47.73791394844521,2.007346339730228,0.457825506936859,16.35,-3.0015597427260388
1044.HK,Hengan International Group Company Limited,25.66146051320105,-12.413863546018758,-0.4837551447873625,0.6748283765729187,9.68,-3.238823155509531
