stock_id,stock_name,risk,roi,sharpe_ratio,correlation_to_hsi,PE_ratio,var
^NDX,NASDAQ 100,17.439703655685424,30.08850102950495,1.7252874030170782,0.9999999999999998,0,-2.174764570161833
AAPL,Apple Inc.,22.46315262091028,27.197320035421452,1.2107525819908411,0.5969250186133807,34.71,-2.801198312688507
MSFT,Microsoft Corporation,19.83609379104556,28.806395682057843,1.4522211875738191,0.7329517053804062,35.1,-2.4735990266158874
NVDA,NVIDIA Corporation,49.72344364125988,174.02244122458822,3.499806700439119,0.7510238980031823,75.03,-6.200609005314007
GOOGL,Alphabet Inc.,27.747032192884525,25.844598455135642,0.9314364965404572,0.6113454317404887,23.63,-3.460108252501921
GOOG,Alphabet Inc.,27.56160663524339,26.389968810173254,0.9574902203425273,0.6118218236826735,23.87,-3.4369853290209944
AMZN,"Amazon.com, Inc.",28.279714803662596,30.028538313668857,1.0618402102760869,0.7154761259311623,41.32,-3.52653479804037
META,"Meta Platforms, Inc.",36.80032079468066,79.20715232778834,2.1523495072150953,0.5997341956591573,26.53,-4.589070744259489
AVGO,Broadcom Inc.,43.13422335614128,90.72468801470856,2.1033110360103784,0.7608890702267479,69.56,-5.378920569318369
TSLA,"Tesla, Inc.",54.71515982726747,-12.398458965857678,-0.22660006851846692,0.5237081893100461,58.77,-6.823085609272448
COST,Costco Wholesale Corporation,19.239835280887842,74.46624446497326,3.870420062220872,0.5523815658491027,56.49,-2.3992444442130068
ASML,ASML Holding N.V.,39.48104111336007,36.15363352302972,0.9157213817949602,0.751998959151083,46.52,-4.923361721140644
NFLX,"Netflix, Inc.",32.35934754900691,66.41629784385565,2.0524609695319374,0.44095639840272294,43.48,-4.035272843652429
AZN,AstraZeneca PLC,19.576068665693672,29.7993517747729,1.5222337172833456,0.09867160777618722,42.33,-2.4411733936388718
PEP,"PepsiCo, Inc.",16.82990459933598,0.22196599725883684,0.013188785233375267,0.025405287157546242,25.44,-2.0987214556198865
ADBE,Adobe Inc.,33.76532199298381,7.152027784634071,0.2118157731805493,0.53356317059757,51.02,-4.210600559517435
AMD,"Advanced Micro Devices, Inc.",47.30907321658176,46.67186346826429,0.9865309188070477,0.6772228239721925,179.17,-5.899532372218536
TMUS,"T-Mobile US, Inc.",13.95567725354991,52.77664631558141,3.781733079428775,0.15669445773103546,25.57,-1.7402997804804667
LIN,Linde plc,15.855271818289127,25.18707729767511,1.5885616838572079,0.2803693793814243,35.97,-1.9771828742892343
CSCO,"Cisco Systems, Inc.",20.042214537316706,-6.870464528790887,-0.3427996699665465,0.3463750475444701,19.96,-2.4993026799012843
QCOM,QUALCOMM Incorporated,36.26167204019148,59.29174576571875,1.6351078819531915,0.7188224630612702,22.21,-4.5219002091315605
AMGN,Amgen Inc.,24.60956885374436,31.266264550331975,1.2704921705922043,0.28137044759814156,56.46,-3.0688605429733666
INTU,Intuit Inc.,26.668721077695054,21.438093728953625,0.803866584621631,0.6079406287905678,59.88,-3.325640783603087
PDD,PDD Holdings Inc.,53.382157753696966,18.759288168817825,0.35141494758178177,0.30335636141549854,10.17,-6.656857688271719
TXN,Texas Instruments Incorporated,24.65660128452661,28.778210319954784,1.167160469030852,0.6424214646162474,36.51,-3.0747255775022353
ISRG,"Intuitive Surgical, Inc.",27.938504339614145,59.99402564881484,2.147359963136932,0.5088014519702008,82.59,-3.483985197265524
CMCSA,Comcast Corporation,22.533699861271508,-9.936383193606199,-0.44095657858138876,0.260427330045826,10.7,-2.8099956891743316
AMAT,"Applied Materials, Inc.",38.5205588681086,35.647588578098414,0.9254172220126138,0.7707510344934574,21.97,-4.803587738825215
HON,Honeywell International Inc.,16.00306565326246,12.152837974005873,0.7594068684913717,0.3831761520242129,23.47,-1.9956130496141211
SNY,Sanofi,27.894014050688607,9.20192016738631,0.32988870481905946,-0.0014864216414160463,29.96,-3.4784371727129404
VRTX,Vertex Pharmaceuticals Incorporated,23.156857405727003,36.604089719942216,1.5807019527135635,0.23905912898282816,-243.81,-2.887704632862091
ARM,Arm Holdings plc,87.26065088710574,106.3217434084293,1.2184385783001324,0.4950265484258365,320.0,-11.150292133570332
REGN,"Regeneron Pharmaceuticals, Inc.",17.162590528248884,44.63526923886651,2.6007303014890897,0.3143149978350044,31.84,-2.1402080304766384
BKNG,Booking Holdings Inc.,26.256894649295926,27.063043683103942,1.0307023753027715,0.5793738695005599,27.25,-3.274285236328823
ADP,"Automatic Data Processing, Inc.",17.896897542409658,10.437666563599688,0.5832109469736814,0.22806532226945225,30.22,-2.231777526698987
LRCX,Lam Research Corporation,38.84944075337852,24.3374923804247,0.626456698178035,0.790692557346672,28.33,-4.844599942127184
MU,"Micron Technology, Inc.",42.72450642074069,50.56681894685093,1.1835553686420863,0.6391585119981158,-69.4,-5.327828079876095
ADI,"Analog Devices, Inc.",29.49249871546549,30.9143067231905,1.0482091402780813,0.6440886427775809,69.83,-3.677771283173612
PANW,"Palo Alto Networks, Inc.",44.05784454444647,50.671200929471794,1.1501062172561265,0.4085348864485452,48.1,-5.494097906974681
KLAC,KLA Corporation,38.33531802422398,68.55397615784298,1.7882720084524646,0.7878163243015205,40.0,-4.780487849504801
GILD,"Gilead Sciences, Inc.",24.15009342432585,4.15150151394396,0.1719041595823495,0.009244955115824105,93.9,-3.0115630736764323
MDLZ,"Mondelez International, Inc.",17.64684116078707,2.048737503540445,0.11609655716134235,0.09742895225121678,24.48,-2.2005950152279055
MELI,"MercadoLibre, Inc.",33.07396806524162,62.967203799766615,1.9038297332681,0.45752898739696923,73.54,-4.124387395740093
