stock_id,stock_name,risk,roi,sharpe_ratio,correlation_to_hsi,PE_ratio,var
0001.HK,CK Hutchison Holdings Limited,21.019927938070325,-14.63943575750078,-0.6964550877924994,0.741569946375521,6.02,-2.658407780016006
0002.HK,CLP Holdings Limited,19.47379409519829,11.983904308449024,0.6153862082481364,0.6429918653426833,24.03,-2.462866946148885
0003.HK,The Hong Kong and China Gas Company Limited,21.983578340448226,1.4115411118626209,0.06420888765253858,0.7175969572433453,19.19,-2.7802814483960576
0005.HK,HSBC Holdings plc,16.845564742522836,19.41992005322478,1.1528209561418599,0.535474102864867,7.34,-2.1304725925904937
0006.HK,Power Assets Holdings Limited,19.12483914851608,17.185378789773036,0.8985894551226314,0.5426513463985511,15.16,-2.4187343236266683
0011.HK,Hang Seng Bank Limited,26.069076099904716,-0.863493024423257,-0.03312326916052131,0.7176872000820098,11.0,-3.2969777501615027
0012.HK,Henderson Land Development Company Limited,28.463697518292978,1.1301662163624566,0.03970553072509726,0.6985076802126381,11.05,-3.599827513852021
0016.HK,Sun Hung Kai Properties Limited,23.519821618980668,-25.78198106329071,-1.0961809779409408,0.6586108214805838,7.72,-2.9745714143597968
0017.HK,New World Development Company Limited,39.62067649198867,-54.76433811049725,-1.3822161295396014,0.6767982934210371,16.13,-5.01085992997316
0027.HK,Galaxy Entertainment Group Limited,31.90710721874152,-30.994830365266026,-0.9714083496438172,0.6029116184967137,21.7,-4.035318404421427
0066.HK,MTR Corporation Limited,23.684277005745,-25.088950221128588,-1.0593082581766318,0.7175429914658911,19.68,-2.995370223990729
0101.HK,Hang Lung Properties Limited,33.43581370943692,-38.29550513795696,-1.1453438959419862,0.680637897109216,7.49,-4.2286551865549775
0175.HK,Geely Automobile Holdings Limited,33.37021000439574,-12.61149289494503,-0.3779266865052322,0.7746278953326056,14.85,-4.220358231380193
0241.HK,Alibaba Health Information Technology Limited,50.54114875643776,-35.80247325419472,-0.7083826572033413,0.683359595993967,52.0,-6.3919811457448255
0267.HK,CITIC Limited,33.164962022547634,-8.882893360062004,-0.2678396964248852,0.8613447916596059,3.23,-4.194400348299664
0285.HK,BYD Electronic (International) Company Limited,45.91663542024157,49.28386089472699,1.0733334540666506,0.5036645593052925,18.96,-5.80711509539716
0288.HK,WH Group Limited,24.69827466141023,27.43339003720064,1.110741151488767,0.5166283396752407,12.95,-3.1236113513951795
0291.HK,China Resources Beer (Holdings) Company Limited,40.750669760206584,-45.3843664076373,-1.1137084782826212,0.7224155922099594,15.41,-5.153771119033688
0316.HK,Orient Overseas (International) Limited,45.47996986880459,7.546381421434814,0.1659275818168691,0.3596257757937602,7.29,-5.75188963969507
0322.HK,Tingyi (Cayman Islands) Holding Corp.,33.06169600260991,-13.023481851376259,-0.39391451213961254,0.6206746687737693,16.31,-4.181340208815715
0386.HK,China Petroleum & Chemical Corporation,25.428366924030797,18.068623067092147,0.7105695431041069,0.6235437462559372,8.68,-3.2159467274629905
0388.HK,Hong Kong Exchanges and Clearing Limited,31.53972528609347,-12.09464864187356,-0.3834734935756192,0.8403735715460712,26.82,-3.9888553056483804
0669.HK,Techtronic Industries Company Limited,40.9125061564301,11.259630818467347,0.2752124442197659,0.36914298256421857,21.28,-5.174238702751286
0688.HK,China Overseas Land & Investment Limited,41.68095496726191,-15.672230256864426,-0.37600458696721556,0.7633474262359671,5.19,-5.271425063393342
0700.HK,Tencent Holdings Limited,31.744452305512997,18.165287161039412,0.5722350156245941,0.8140352637060072,29.59,-4.014747302177
0762.HK,China Unicom (Hong Kong) Limited,27.031543440261007,49.56958618312198,1.8337682527329393,0.36184971657619924,10.98,-3.418701795703086
0823.HK,Link Real Estate Investment Trust,27.766554220888075,-22.065988247114454,-0.7946966725354336,0.5797996206308519,-39.03,-3.5116592208365818
0836.HK,China Resources Power Holdings Company Limited,26.40044258623242,47.05375452263977,1.7823093067075269,0.34214574183406704,10.24,-3.3388859454648117
0857.HK,PetroChina Company Limited,28.53548689546864,64.41094959667382,2.25722272875961,0.3942152679705279,8.34,-3.6089067761296345
0868.HK,Xinyi Glass Holdings Limited,43.21405555030023,-25.616618845238232,-0.5927844197687264,0.638331811840274,6.5,-5.465317570042454
0881.HK,Zhongsheng Group Holdings Limited,54.36820077451672,-57.61531630614063,-1.0597245353969094,0.7031234242122134,5.28,-6.875991599508591
0883.HK,CNOOC Limited,27.847155761036824,112.63137916580371,4.044627757761719,0.41110382921050476,7.46,-3.5218529646992627
0939.HK,China Construction Bank Corporation,22.045197781234112,33.12133048208047,1.502428366066866,0.7555930670572483,3.85,-2.7880745103545976
0941.HK,China Mobile Limited,16.254741450585986,30.672391393649058,1.8869811917274952,0.4751370381340212,11.34,-2.055750679150681
0960.HK,Longfor Group Holdings Limited,68.13857093672848,-35.36834392504689,-0.5190649501277171,0.7142462046686459,4.8,-8.617541774217926
0968.HK,Xinyi Solar Holdings Limited,58.017401152036975,-57.448856971221794,-0.990200454182267,0.5339086109159148,7.38,-7.33750900827511
0981.HK,Semiconductor Manufacturing International Corporation,42.63516769324345,-8.146631995133365,-0.1910777519100597,0.5985214423234837,25.37,-5.392105140985106
0992.HK,Lenovo Group Limited,48.15571262779237,41.96549707050599,0.8714541802105159,0.4554347598916765,17.9,-6.090293053292481
1038.HK,CK Infrastructure Holdings Limited,22.088323202735303,20.268283150303855,0.9176017103821595,0.4438948941196207,13.42,-2.793528618302685
1044.HK,Hengan International Group Company Limited,25.313868441130737,-14.927186310907478,-0.5896841229787437,0.6709852931054349,9.44,-3.208019682242907
